account_rewards,date
4037.9567794799805,2022-03-03
-33378.18460083008,2022-03-04
-15981.264419555664,2022-03-07
26914.307243347168,2022-03-08
-7292.026664733887,2022-03-09
-12983.763778686523,2022-03-10
15995.999755859375,2022-03-11
27563.358863830566,2022-03-14
5722.283836364746,2022-03-15
16963.834342956543,2022-03-16
6234.2993240356445,2022-03-17
4442.12873840332,2022-03-18
5147.058700561523,2022-03-21
-13032.66488647461,2022-03-22
17569.88768005371,2022-03-23
15373.467994689941,2022-03-24
515.0913238525391,2022-03-25
9270.594093322754,2022-03-28
2274.062454223633,2022-03-29
-29556.96369934082,2022-03-30
15379.269821166992,2022-03-31
-7606.434532165527,2022-04-01
1156.282844543457,2022-04-04
13076.87361907959,2022-04-05
6273.872009277344,2022-04-06
15261.312713623047,2022-04-07
-14577.05965423584,2022-04-08
-8151.148040771484,2022-04-11
6664.891822814941,2022-04-12
-4563.6226806640625,2022-04-13
-3713.1623153686523,2022-04-14
7150.555793762207,2022-04-18
28997.15874481201,2022-04-19
-12590.112487792969,2022-04-20
-37405.0990524292,2022-04-21
7005.513984680176,2022-04-22
-35393.38645172119,2022-04-25
10705.604942321777,2022-04-26
32798.54766845703,2022-04-27
-44645.62699890137,2022-04-28
-7649.178611755371,2022-04-29
-2254.864700317383,2022-05-02
37545.71991729736,2022-05-03
-39478.855461120605,2022-05-04
